Discipline (분야)	English (영어)	Korean (한국어)
소방	Control Mode Density/Area Sprinkler Protection Criteria for Palletized, Solid-Piled, Bin Box, Shelf, or Back-to-Back Shelf Storage of Class I Through Class IV Commodities	Class I - IV 물품의 팔레트, 고형 적재, Bin 박스, 선반 또는 Back-to-back 선반 저장의 CMDA 스프링클러 방호 기준
소방	Control Mode Density/Area Sprinkler Protection Criteria for Palletized, Solid-Piled, Bin Box, Shelf, or Back-to-Back Shelf Storage of Plastic and Rubber Commodities	플라스틱 및 고무 물품의 팔레트 적재, 밀집 적재, Bin 박스, 선반 또는 Back-to-back 선반 저장을 위한 CMDA 스프링클러 보호 기준
소방	Control Valve	제어 밸브
소방	Control Valve Supervisory Signal–Initiating Device	제어 밸브 감시 신호 개시 장치
소방	Controller Location	제어반 위치
건축	Cooking Equipment Fires	조리장비 화재
건축	Corridors	복도
건축	Corrosive	부식성 물질
소방	Counterflow Towers	대향류형 냉각탑
소방	Coupling Type	커플링 종류
건축	Covered and Open Mall Buildings	밀폐형 및 개방형 몰 건물
건축	Covered And Open Mall Buildings	밀폐형 및 개방형 몰 건축물
소방	Crossflow Towers	직교류형 냉각탑
건축	Dead Ends	막다른 구간
소방	Definitions	정의
소방	Deflector Position	디플렉터 위치
건축	Delayed Egress	지연피난
소방	Deluge Systems	델루지 시스템
소방	Design	설계
소방	Design Approach	설계 접근법
소방	Design Approaches	설계 접근법
소방	Design Area Sprinklers	설계 구역 스프링클러
소방	Design Criteria	설계 기준
소방	Design Densities	설계 밀도
소방	Design Density	설계 밀도
소방	Design Fundamentals	설계 기본사항
소방	Design Objectives	설계 목표
건축	Detached Buildings For Group H-1, H-2 Or H-3 Occupancy	(Group H-1, H-2 또는 H-3 용도를 위한 단독건물
소방	Detection, Actuation, Alarm, and Control Systems for Clean Agent Releasing Applications	청정 소화 약제 방출 적용을 위한 감지, 작동, 경보 및 제어 시스템
소방	Diesel Engine Drive	디젤 엔진 구동
건축	Direction of Swing	개폐 방향
소방	Discharge Considerations	방출 고려사항
소방	Disposition of Signals	신호의 처리
소방	Distinctive Evacuation Signal	다종 음향 피난 경보
건축	Distribution of Minimum Width and Required Capacity	최소 너비 및 필요 수용인원의 분배
소방	Door and Shutter Release	방화문 및 셔터 해정
건축	Door Arrangement	문 배치
건축	Door Operation	문 작동
건축	Door, Gates, And Turnstiles	문, 게이트 및 회전식 문
건축	Doors	피난문
소방	Draft Curtains	방연커튼
소방	Drainage	배수
소방	Drop-Out Ceilings	낙하식 천장
소방	Drop-Out Ceilings and Ceiling Materials	드롭아웃 천장 및 천장 재료
소방	Dry	건식
소방	Dry Pipe and Preaction Sprinkler Systems	건식 및 준비 작동식 스프링클러 시스템
소방	Dry Pipe System Water Delivery	건식 배관 시스템의 급수
소방	Dry Systems	건식 배관 시스템
건축	Dry-chemical Systems	건식 화학소화설비
소방	Duct Detector	덕트 감지기
소방	Duct Protection	덕트 방호
건축	Duct Smoke Detection	덕트 연기감지
건축	Ducts And Air Transfer Opening	덕트 및 공기이송 개구부
건축	Ducts and Air Transfer Openings	덕트 및 공기이송 개구부
소방	Duration	지속 시간
건축	Edge Protection	가장자리 보호
건축	Egress Based On Occupant Load And Common Path of Egress Travel Distance	수용인원 및 공통 피난경로 이동거리에 따른 피난
건축	Egress Based On Use	용도에 따른 피난
건축	Egress Door Types	피난 출입문 유형
건축	Egress From Spaces	공간에서의 피난
건축	Egress Through Intervening Spaces	중간 공간을 통한 피난
소방	Electric-Drive Controllers and Accessories	전동 제어반 및 부속품
소방	Electrical Clearances	전기적 이격거리
소방	Electrical Equipment Rooms	전기설비실
건축	Electrical Rooms	전기실
건축	Elevation Change	단차
소방	Elevator Hoistways and Machine Rooms	승강로 및 기계실
소방	Elevator Lobby Detector Location	엘리베이터 로비 감지기 위치
건축	Elevator Lobby Separation	엘리베이터 로비 구획
소방	Elevator Phase I Emergency Recall Operation	엘리베이터 1단계(Phase I) 비상복귀운전
소방	Elevator Pits	엘리베이터 피트
소방	Elevator Power Shutdown	엘리베이터 전원차단
소방	Elevators	엘리베이터
건축	Elevators And Conveying Systems	엘리베이터 및 운반설비
건축	Elevators required	필수 엘리베이터
건축	Emergency Alarm Systems	비상경보설비
건축	Emergency and Standby Power	비상 및 대기 전원
소방	Emergency Command Center	방재 센터
소방	Emergency Communications Systems (ECSs)	비상통신시스템(ECS)
소방	Emergency Control Function Interfaces	비상제어기능 인터페이스
소방	Emergency Lighting	비상 조명
소방	Emergency Response Plan Elements	비상 대응 계획 요소
소방	Encapsulated Storage Over 15 ft (4.6 m) in Height Up to and Including 20 ft (6.1 m) in Height	높이 15 ft (4.6 m)를 초과하고 20 ft (6.1 m) 이하인 캡슐 저장
소방	Enclosure	외함
소방	Enclosures	외함
건축	Enclosures Over Occupiable Roof Areas	거주 가능한 옥상 구역 상부의 구조물
건축	Encroachment	침범
건축	Energy Storage Systems	에너지 저장 시스템
소방	Engineering Guide for Automatic Fire Detector Spacing	자동화재탐지기 이격 거리 공학 지침
건축	Environment	환경
건축	Equipment	장비 플랫폼
소방	Equipment	설비
소방	Equipment	장비
소방	Equipment Enclosures	설비 외함
건축	Equipment Platforms	장비 플랫폼
소방	Equipment Protection	장비 보호
소방	Equivalent Storage Arrangement	대응되는 저장 배열
소방	ESFR Design Criteria	ESFR 설계 기준
소방	ESFR K-Factor	ESFR K-계수
소방	ESFR Protection of Rack Storage of Rubber Tires	고무 타이어 랙 저장  ESFR  방호
소방	ESFR Sprinklers for Palletized, Solid-Piled, or Rack Storage of Class I Through Class IV and Group A Plastic Commodities	Class I - IV 및 Group A 플라스틱 물품의 팔레트, 밀집 적재 또는 랙 저장의 ESFR 스프링클러
소방	ESFR Sprinklers for Protection of Roll Paper Storage	롤 페이퍼 저장 방호용 ESFR 스프링클러
소방	Evacuation Procedures.	대피 절차
소방	Exhaust Ducts	배기 덕트
건축	Exhaust Method	배기 방식
건축	Exit Access	피난통로 접근로
건축	Exit Access	출구접근통로
