Discipline (분야)	English (영어)	Korean (한국어)
소방	Noncombustible and Limited-Combustible Elevators	불연성 및 준불연성 엘리베이터
소방	Noncombustible Construction	불연성 구조
소방	Noncombustible Stairways	불연성 계단
소방	Noncombustible Vertical Shafts	불연성 수직 샤프트
소방	Notification Appliances	경보장치 위치
소방	Notification Appliances in Exit Stair Enclosures, Exit Passageways, and Elevator Cars	비상구 계단, 비상구 통로 및 엘리베이터 내 경보 장치
소방	Notification Coverage	경보 범위
소방	Notification Zones	통보 구역
소방	Number and Location	개수 및 위치
건축	Number of Control Area	관리 구역의 개수
건축	Number of Exit And Exit Access Doorway	출구 및 출구접근통로의 출입문 개수
건축	Number of Exits	출구 개수
소방	Number of Standpipes	Standpipe 개수
건축	Number of Stories	층수
소방	Number of Supplies	급수 개수
소방	Obstructed Construction	장애 구조
소방	Obstruction to Sprinkler Discharge (Standard Pendent and Upright Sprinklers)	스프링클러 살수의 장애물
소방	Obstructions At or Above the Deflector Affecting Sprinkler Discharge Pattern Development	스프링클러 살수 패턴 전개에 영향을 미치는 디플렉터 높이 또는 상부의 장애물
소방	Obstructions Below the Deflector Affecting Sprinkler Discharge Pattern Development	스프링클러 살수 패턴 전개에 영향을 미치는 디플렉터 하부 장애물
건축	Occupancies Containing Explosives Not Classified As H-1	H-1으로 분류되지 않는 폭발물 포함 용도
건축	Occupancy Classification	용도 분류
건축	Occupancy Exemptions	용도 면제사항
소방	Occupancy Hazard Fire Control Approach for Spray Sprinklers	분무형 스프링클러의 용도위험 화재제어 방식
소방	Occupancy Limitations	점유 제한사항
소방	Occupant Evacuation Elevators (OEE)	재실자 피난용 엘리베이터(OEE)
건축	Occupant Load	수용인원
건축	Occupant Notification	재실자 통보
소방	Occupant Notification	재실자 경보
건축	Occupiable Roofs	거주 가능한 옥상
건축	Occupiable Space	점유거주가능공간
소방	Open Stairs	개방 계단
건축	Open System	개방시스템
소방	Open-Grid Ceilings	개방형 그리드 천장
건축	Opening Protective	개구부 보호
소방	Operating Alarms, Notification Appliances, and Indicators	작동 경보, 통보 장치 및 표시기
소방	Operating Controls	작동 제어
소방	Operation of Class A Radio Pathways	Class A 무선 경로의 작동
소방	Operation of Class B Radio Pathways	Class B 무선 경로의 작동
소방	Ordinary Hazard (Group 1)	중급 위험 (Group 1)
소방	Ordinary Hazard (Group 2)	중급 위험 (Group 2)
건축	Organic Peroxide	유기과산화물
건축	Other Egress Components	기타 피난요소
건축	Other Projections	기타 돌출물
건축	Other Required Fire Protection Systems	기타 필수 소방설비
소방	Output Signals from a Wireless Receiver/Transceiver of a Control Unit	제어 장치의 무선 수신기/송신기에서 나오는 출력 신호
건축	Oxidizer	산화제
건축	Panic And Fire Exit Hardware	패닉 및 출구 하드웨어
소방	Password Protection	비밀번호 보호
소방	Pathways Class Designations	경로 등급 지정
소방	Peaked	박공형 천장
건축	Penetration	관통부
건축	Penetrations	관통부
건축	Penetrations In Smoke Barriers	방연구획 관통부
건축	Percentage of Maximum Allowable Quantities	최대 허용 퍼센트
소방	Performance of Initiating Device Circuits (IDCs)	기동 장치 회로(IDC)의 성능
소방	Performance of Notification Appliance Circuits (NACs)	경보 장치 회로(NAC)의 성능
소방	Performance of Signaling Line Circuits (SLCs)	신호선 회로(SLC)의 성능
소방	Performance-Based Design	성능위주설계
소방	Performance-Based Design of Mass Notification Systems	성능위주설계의 대중경보시스템
소방	Personnel	인원
소방	Personnel Safety	인원 안전
소방	Pilot Line Detection Systems	파일럿 라인 감지 시스템
소방	Pipe Network	파이프 네트워크
소방	Piping Drainage	배관 배수
소방	Piping Installation	배관 설치
소방	Plans and Calculations	계획 및 계산
건축	Portable Fire Extinguishers	소화기
소방	Portable Fire Extinguishers	휴대용 소화기
소방	Position, Location, Spacing, and Use of Sprinklers	스프링클러 위치, 장소, 간격 및 사용
소방	Positive Alarm Sequence	적극적 경보 시퀀스
소방	Post Indicator Valves	개폐표시형 밸브
건축	Post-mounted Objects	입상 피난방해물
건축	Posting of Occupant Load	수용인원 게시
건축	Power Connections	전원 연결
소방	Power Supplies	전원 공급 장치
소방	Power Supply Sources	전원 공급원
건축	Power-operated Doors	자동문
소방	Pre-action Systems and Deluge Systems	준비작동식 설비 및 일제살수식 설비
소방	Presignal Feature	사전 신호 기능
소방	Pressure Differences Across Doors	문의 압력차
소방	Pressure Differences Across Spaces	공간 간 압력차
소방	Pressure Gauges	압력 게이지
소방	Pressure Limitation	압력 한도
소방	Pressure Supervisory-Signal-Initiating Device	압력 감시 신호 개시 장치
소방	Pressure Tank	압력 탱크
건축	Pressurization Method	가압 방식
소방	Primary Power Supply	주 전원 공급 장치
소방	Priority	우선순위
소방	Private Fire Service Mains	민간 소방용수 주배관
소방	Private Fire Service Mains Beneath Buildings	건물 하부의 민간 소방용수 주배관
소방	Private Mode Audible Requirements	사설 모드 가청 요구사항
건축	Projections	돌출물
건축	Projections Into Clear Opening	유효 폭으로의 돌출부
소방	Proportioning System	혼합 장치
소방	Protected Premises Alarm and Signaling Systems	방호구역 경보 및 신호 시스템
소방	Protection Against Freezing	동결 방지
소방	Protection Areas per Sprinkler (Standard Pendent and Upright Sprinklers)	스프링클러 당 보호 면적
소방	Protection for Fan Drive Motor	팬 구동 모터 방호
소방	Protection of Exposed Expanded Group A Plastics	노출형 발포 Group A 플라스틱 방호
건축	Protection of Fire Pump Rooms	소화펌프실의 방호
소방	Protection of High-Piled Storage Using Control Mode Density Area (CMDA) Sprinklers	제어모드밀도면적(CMDA) 스프링클러를 사용한 고적재 저장 보호
소방	Protection of Private Fire Service Mains	민간 소방용수 주배관의 방호
소방	Protection of Rack Storage Using In-Rack Sprinklers	인랙 스프링클러를 사용한 랙 저장의 방호
소방	Protection of Specific Facility Elements	특정 시설 요소의 방호
소방	Protection of Storage	저장 보호
소방	Protection Options	방호 방법
건축	Protruding Objects	돌출물
소방	Public Address (PA) Systems interface with Facility Fire Alarm System	시설 화재 경보 시스템과의 공공 방송(PA) 시스템 인터페이스
소방	Public Address (PA) Systems used for Emergency Communications	비상 통신에 사용되는 공공 방송(PA) 시스템
소방	Public Mode Audible Requirements	공중 모드 가청 요구사항
소방	Pumps	펌프
소방	Pumps, Drivers, and Controllers	펌프, 드라이버, 콘트롤러
소방	Purpose	목적
소방	Quick-Response Sprinklers	속동형 스프링클러
소방	Rack Storage	랙 저장
소방	Raised Floors and Suspended Ceilings	이중 바닥 및 천장
건축	Ramps	경사로
소방	Record Keeping and Reporting	기록 보관 및 보고
건축	Reduction In Fire-resistance Rating	내화등급의 완화
건축	Refrigerated Rooms or Spaces	냉동 기계실 또는 공간
건축	Refrigeration Machinery Rooms	냉동 기계실
건축	Refuge Area	피난안전구역
소방	Relief Valve	릴리프 밸브
소방	Relief Valves	릴리프 밸브
소방	Relocation and Partial Evacuation	재배치 및 부분 피난
건축	Remoteness of Interior Exit Stairways	내부 비상계단의 이격거리
건축	Required Capacity Based On Occupant Load	수용인원에 따른 필요 용량
건축	Required Damper Locations	댐퍼 설치 요구 위치
소방	Required Emergency Communications Systems	필수 비상 통신 시스템
소방	Requirements for Smoke and Heat Detectors	연기감지기 및 열감지기 요건
소방	Requirements for System Components and Hardware	시스템 구성요소 및 하드웨어의 요구 사항
소방	Residential Sprinklers	주택용 스프링클러
건축	Restriction on Using Automatic Sprinkler System Exceptions or Reductions	스프링클러 설비 예외 또는 완화적용 제한
소방	Restrictions	제한 사항
소방	Restrictions for Normally Occupied Enclosures	평상시 점유되는 밀폐 공간의 제한
건축	Revolving Doors	회전문
소방	Revolving Doors Enclosures	회전문 방호구역
건축	Riser Height and Tread Depth	단 높이 및 디딤판 깊이
소방	Risk Analysis for Mass Notification Systems	대규모 경보 시스템의 위험 분석
소방	Scope	적용 범위
소방	Scope	범위
소방	Secondary Power Supply	보조 전원 공급 장치
건축	Sensor Locations	센서 위치
건축	Separated Occupancies	분리 용도
건축	Separating Fire Areas	방화구역 구획
건축	Separating Incidental Uses	부수적 용도 구획
건축	Separating Mixed Occupancies	복합용도 구획
건축	Separating Smoke Compartments	방연구획
건축	Separation	분리
건축	Separation	구획
건축	Separation	이격거리
건축	Separation of Highly Toxic Solids And Liquids	고독성 고체 및 액체의 분리
건축	Separation of Incompatible Materials	혼재불가 물질의 분리
건축	Separation of Occupancies	용도 분리
소방	Service Scope	서비스 범위
건축	Shaft Enclosure	샤프트 구획벽
건축	Shaft Enclosures	샤프트 구획벽
건축	Shaft Enclosures	샤프트 구획
소방	Shafts with Combustible Surfaces	표면이 가연성인 샤프트
소방	Shed	외쪽 지붕
건축	Shunt Trip	차단기 트립
건축	Signage	표지
소방	Signal Initiation — Fire Pump	신호 개시 — 소방 펌프
소방	Signal Zoning	신호 구획화
소방	Single- and Multiple-Injection Systems	단일 및 다중 송기 시스템
소방	Single-Injection Systems	단일 송기 시스템
건축	Single-occupancy Buildings	단일 용도 건물
건축	Size	크기
건축	Size And Distribution	크기 및 배치
건축	Size of Doors	문의 크기
소방	Size of Fire Mains	소방 주배관의 크기
소방	Skylights	천창
소방	SLC Zones	SLC 구역
건축	Slope	기울기
소방	Sloping Ceiling (Peaked and Shed)	경사 천장(박공 및 외쪽 지붕)
소방	Small [11/2 in. (40 mm)] Hose Connections	소형(1 1/2 in. (40 mm)] 호스 접결구
건축	Smoke And Heat Removal	연기 및 열 배출
건축	Smoke Barrier	방연벽
건축	Smoke Barrier	방연구획
건축	Smoke Barrier Construction	방연구획 구조
건축	Smoke Barriers	방연구획
건축	Smoke Compartment	방연구획실
건축	Smoke Control Systems	제언설비
건축	Smoke Partition	연기차단벽
건축	Smoke Proof Enclosure	방연구조물
소방	Smoke-Sensing Fire Detectors	연기감지식 화재감지기
건축	Smokeproof Enclosures	방연구획
소방	Smooth Ceiling	수평면 천장
소방	Sources	공급원
소방	Spaces Maintained at Temperatures Below 32°F (0°C)	32°F (0°C) 이하로 유지되는 장소
소방	Spacing	이격거리
소방	Spacing for Beam Construction	보 구조물의 이격거리
소방	Spacing in Rooms	실내 이격거리
소방	Special Consideration	특별 고려사항
건축	Special Detailed Requirements Based On Occupancy And Use	용도 및 사용에 따른 특별 세부 요건
건축	Special Doors	특수문
건축	Special Provisions	특별 조항
건축	Special Provisions For Group H-1 Occupancies	Group H-1 용도를 위한 특별 규정
건축	Special Provisions For Group H-2 And H-3 Occupancies	H-2 및 H-3 용도를 위한 특별 규정
소방	Special Requirements for Low-Power Radio (Wireless) Systems	저전력 무선 시스템의 특별 요구사항
소방	Special Sprinklers	특수 스프링클러
소방	Spot-Type Detectors	스폿형 감지기
소방	Spot-Type Smoke Detector	스폿형 연기 감지기
소방	Sprinkler Access	스프링클러 접근
소방	Sprinkler Coverage for Special Situation	특수 상황의 스프링클러 적용 범위
소방	Sprinkler Discharge Characteristics	스프링클러 살수 특성
소방	Sprinkler Location	스프링클러 위치
소방	Sprinkler Location Requirements	스프링클러 장소 요구사항
소방	Sprinkler Spacing	스프링클러 간격
소방	Sprinkler System Hose Demand	스프링클러 설비 호스 요구량
소방	Sprinkler Waterflow Alarm-Initiating Devices	스프링클러 유수검지 경보발신장치
소방	Sprinkler-Protected Glazing	스프링클러 보호 유리창
소방	Sprinklers	스프링클러
소방	Stages	무대
소방	Stair Shafts	계단 샤프트
건축	Stair Treads And Risers	계단 디딤판 및 챌면
소방	Stairs	계단
소방	Stairs Serving Two or More Areas	2개 이상의 구역을 연결하는 계단
건축	Stairway	계단
건축	Stairway Communication System	계단실 통신시스템
건축	Stairway Door Operation	계단실 문 작동
건축	Stairway Doors	계단 출입문
건축	Stairway Landing	계단 참
건축	Stairway To Roof	지붕으로 연장
건축	Stairway Width	계단 폭
건축	Stairways	계단
소방	Stairwell Pressurization Systems	계단실 가압 시스템
소방	Standard Pendent and Upright Spray Sprinklers	표준형 하향식 및 상향식 스프레이 스프링클러
소방	Standpipe Protection	옥내소화전 방호
소방	Standpipe System Types	옥내소화전 시스템 유형
건축	Standpipe Systems	연결송수관설비
건축	Storage Group S	저장시설군 S
소방	Stored Supply	저장 급수원
소방	Stored-Energy Emergency Power Supply Systems (SEPSS)	저장 에너지 비상 전원 공급 시스템(SEPSS)
소방	Strainers	스트레이너
소방	Supervision	감시
건축	Supervisory Service	감시 서비스
소방	Supervisory Signal Initiation — Fire Suppression Systems Other Than Sprinklers	감시 신호 개시 — 스프링클러 외의 소화 시스템
소방	Supervisory Signal Initiation — Sprinkler Systems	감시 신호 개시 — 스프링클러 시스템
소방	Supervisory Signal-Initiating Devices	감시 신호 개시 장치
소방	Supervisory Signals	감시 신호
소방	Supplemental Sprinklers	보조 스프링클러
소방	Support of Risers	입상관 지지
건축	Supporting Construction	지지 구조
소방	Suppression Design	소화 설계
소방	Suppression System Actuation	소화 시스템 작동
소방	Suspension Means	현가 수단
소방	System Acceptance	시스템 인수
소방	System Classification	시스템 분류
소방	System Components	시스템 구성요소
소방	System Components and Hardware	시스템 구성요소 및 하드웨어
소방	System Design and Installation	시스템 설계 및 설치
소방	System Features	시스템 기능
소방	System Operation	시스템 작동
소방	System Performance and Integrity	시스템 성능 및 완전성
소방	System Requirements	시스템 요구 사항
소방	System Scope	시스템 범위
소방	System Types and Requirements	설비 유형 및 요구사항
소방	Systems with Multiple Hazard Classifications	복수 위험으로 분류된 시스템
소방	Tank Construction	탱크 구조
건축	Tank Protection	탱크 보호
소방	Temperature Characteristics	온도 특성
건축	Temperature of Pump Room	펌프실의 온도
소방	Test Pressures	시험 압력
소방	Test Signals	시험 신호
건축	Tested Assembly	시험된 구조체
소방	Testing and Acceptance	시험 및 인수
소방	Textual Visual Appliances	문자 시각 장치
건축	Three or More Exits or Exit Access Doorways	3개 이상의 출구 또는 출구접근통로 출입문
건축	Three Or More Exits Or Exit Access Doorways	3개 이상의 출구 또는 출구접근통로 출입문
건축	Through Penetration Fire Stop System	설비 관통 내화충전시스템
건축	Through Penetrations	관통부
건축	Through-penetration Firestop System	관통부 방화충전 시스템
건축	Through-penetration Firestop System	수평 구조체
소방	Time Delays	시간 지연
소방	Tones	경보음
소방	Total Design Area	전체 설계 면적
소방	Total Flooding Systems	전역 방출 시스템
소방	Transverse Flue Space	횡방향 연도 공간
소방	Trouble Signal Initiation	고장 신호 개시
소방	Trouble Signals	고장 신호
건축	Turnstiles And Similar Devices	회전식 문 및 유사장치
건축	Two Exits Or Exit Access Doorways	2개의 출구 또는 출구접근통로 출입문
건축	Two-way Communication	양방향 통신
소방	Two-Way Radio Communications Enhancement Systems	양방향 무선 통신 향상 시스템
건축	Type I	Type I
건축	Type I And II	Type I 및 II
건축	Type III	Type III
건축	Type IV	Type IV
건축	Type of Construction	구조 유형
건축	Type V	Type V
소방	Types and Locations of Discharge Outlets	방출구의 유형 및 위치
소방	Types of Equipment	설비 유형 및 요구사항
소방	Types of Systems	시스템의 유형
소방	Types of Systems	시스템 유형
건축	Underground Buildings	지하 건물
소방	Underground Requirements	지하 요구사항
건축	Unlimited Area Buildings	무제한 면적 건물
소방	Unsupported Armover Length	비지지 암오버 길이
소방	Unsupported Lengths	비지지 길이
건축	Utility And Miscellaneous Group U	설비 및 기타용도군 U
소방	Valve Closure Time	밸브 폐쇄 시간
건축	Valve Supervision	밸브 감시
소방	Valves	밸브
소방	Ventilation	환기
건축	Vertical Continuity	수직 연속성
건축	Vertical Opening	수직 개구부
소방	Vertical Openings	수직 개구부
건축	Vertical Rise	수직 높이
소방	Vertical Shafts	수직 샤프트
소방	Video Image Smoke Detection	영상 이미지 연기 탐지
소방	Visual Appliances	시각 장치
소방	Visual Characteristics — Public Mode	시각적 특성 — 공중 모드
소방	Visual Notification	시각 경보
소방	Visual Signaling	시각 신호
소방	Voice Evacuation Messages	음성 피난 메시지
소방	Voice Messages	음성 메시지
소방	Water Flow Test Devices	유량시험 장치
건축	Water Reactives	수반응성 물질
소방	Water Spray Nozzles	물분무 노즐
소방	Water Supplies	급수
소방	Water Supply	급수
소방	Water Supply Connections	급수
건축	Waterproof Room	방수실
소방	Wet Pipe System	습식 배관 시스템
소방	Wet, Dry, and Preaction Systems	습식, 건식 및 준비작동식 시스템
건축	Wet-chemical Systems	습식 화학소화설비
건축	Where Permitted	허용 조건
건축	Where Required	설치 요구사항
건축	Where Required—New Buildings And Structures	설치 요구사항—신축 건축물 및 구조물
소방	Wide-Area Mass Notification Systems	대규모 광역경보 시스템
건축	Width And Capacity	폭 및 용량
건축	Width And Capacity	너비 및 용량
건축	Zones	구역
